abyssal_blade | [s] None => 4511 | [h] None => 4ce61c10e0 | 2023-11-16 13:28:40 (UTC+3)
broom_handle | [s] 2377 => 3211 | [h] 91f474b258 => 05284e54e2 | 2024-05-23 03:26:43 (UTC+3)
buckler | [s] 2502 => 3336 | [h] 88eb2a471e => 8cb8b5057f | 2024-05-23 03:26:43 (UTC+3)
bullwhip | [s] 2767 => 3745 | [h] ced29a7178 => 93ad472680 | 2024-05-23 03:26:43 (UTC+3)
butterfly | [s] 2603 => 3509 | [h] 0388cd8267 => f3ceb135ff | 2024-05-23 03:26:43 (UTC+3)
caster_rapier | [s] 2782 => 3616 | [h] 7f26390cc9 => 9cd39e6abc | 2024-05-23 03:26:43 (UTC+3)
ceremonial_robe | [s] 2630 => 3536 | [h] e42016b5b6 => df13ec4aad | 2024-05-23 03:26:43 (UTC+3)
chainmail | [s] 2013 => 2703 | [h] dd51d5abfc => 5b73ae4000 | 2024-05-23 03:26:43 (UTC+3)
cheese | [s] 2326 => 3088 | [h] 6e83b77e2b => a829234910 | 2024-05-23 03:26:43 (UTC+3)
chipped_vest | [s] 2454 => 3288 | [h] 493ab2d923 => 2f756f6e6f | 2024-05-23 03:26:43 (UTC+3)
circlet | [s] 2030 => 2720 | [h] f0deb2d77d => 1f748d525a | 2024-05-23 03:26:43 (UTC+3)
clarity | [s] 2388 => 3118 | [h] aac587b7ec => 0393637fed | 2024-05-23 03:26:43 (UTC+3)
claymore | [s] 2078 => 2768 | [h] c47e51ceda => 65cce7cf20 | 2024-05-23 03:26:43 (UTC+3)
cloak | [s] 2268 => 3030 | [h] ba1dea036f => 94a1ac1d84 | 2024-05-23 03:26:43 (UTC+3)
cloak_of_flames | [s] 2749 => 3727 | [h] cac3aa1418 => dfe611d5c7 | 2024-05-23 03:26:43 (UTC+3)
clumsy_net | [s] 2384 => 3184 | [h] 62b151b618 => f703fbe6ef | 2024-05-23 03:26:43 (UTC+3)
combo_breaker | [s] 1838 => 2456 | [h] ae7bbf16d1 => 426b362165 | 2024-05-23 03:26:43 (UTC+3)
cornucopia | [s] 2288 => 3122 | [h] f0ac4cbc89 => 2b757b38ea | 2024-05-23 03:26:43 (UTC+3)
courier | [s] 1985 => 2603 | [h] 4634ecc002 => be05d76978 | 2024-05-23 03:26:43 (UTC+3)
craggy_coat | [s] 2677 => 3658 | [h] 1324f0fa3a => 66a34945fb | 2024-05-23 03:26:43 (UTC+3)
crimson_guard | [s] 4210 => 5692 | [h] 514674c098 => 5c6f93cadc | 2024-05-23 03:26:43 (UTC+3)
crown | [s] 2099 => 2789 | [h] 2db1ddd8ea => 326e6bf4e9 | 2024-05-23 03:26:43 (UTC+3)
cyclone | [s] 3258 => 4204 | [h] 17c3c2c3b6 => 04bbd3c5c1 | 2024-05-23 03:26:43 (UTC+3)
dagger_of_ristul | [s] 2632 => 3538 | [h] 6086dcf6f2 => 766728c9f8 | 2024-05-23 03:26:43 (UTC+3)
dagon | [s] 3642 => 4880 | [h] 384aa525e4 => ecece1f75b | 2024-05-23 03:26:43 (UTC+3)
dagon_2 | [s] 3644 => 4882 | [h] ab47ed7ad6 => 07e324a5e3 | 2024-05-23 03:26:43 (UTC+3)
dagon_3 | [s] 3644 => 4882 | [h] c8bae15bef => 83351e6422 | 2024-05-23 03:26:43 (UTC+3)
dagon_4 | [s] 3644 => 4882 | [h] 8169ed3f3a => 34baef22a0 | 2024-05-23 03:26:43 (UTC+3)
dagon_5 | [s] 3644 => 4871 | [h] 68f0f28512 => 2ea37aa574 | 2024-05-23 03:26:43 (UTC+3)
dandelion_amulet | [s] 2547 => 3453 | [h] 26f026b857 => 2702183beb | 2024-05-23 03:26:43 (UTC+3)
defiant_shell | [s] 2390 => 3224 | [h] c28300130a => 55d37ee584 | 2024-05-23 03:26:43 (UTC+3)
demon_edge | [s] 2095 => 2785 | [h] a4194cec4d => 4d7f744326 | 2024-05-23 03:26:43 (UTC+3)
demonicon | [s] 2495 => 3329 | [h] abf22ae1e7 => 62ea819cb7 | 2024-05-23 03:26:43 (UTC+3)
desolator | [s] 3074 => 4124 | [h] 10bfa319a9 => 6c5b9fee4d | 2024-05-23 03:26:43 (UTC+3)
desolator_2 | [s] 2516 => 3350 | [h] 601da30a0c => 9aed6182c1 | 2024-05-23 03:26:43 (UTC+3)
devastator | [s] 3647 => 4985 | [h] 373ff3bb45 => 502b66f905 | 2024-05-23 03:26:43 (UTC+3)
diadem | [s] 1982 => 2672 | [h] 64e078d55a => 30c7548515 | 2024-05-23 03:26:43 (UTC+3)
diffusal_blade | [s] 3707 => 4941 | [h] 999f69f9d9 => 3359c6a2bd | 2024-05-23 03:26:43 (UTC+3)
dimensional_doorway | [s] 1926 => 2544 | [h] 9480353c33 => 6f92a42fd8 | 2024-05-23 03:26:43 (UTC+3)
disperser | [s] 4436 => 5886 | [h] 7ea29b61c5 => c299672371 | 2024-05-23 03:26:43 (UTC+3)
doubloon | [s] 2671 => 3577 | [h] 9e49adb1bd => b4f2f41cd0 | 2024-05-23 03:26:43 (UTC+3)
dragon_lance | [s] 2442 => 3276 | [h] a8b0abfff2 => e84b6a8a71 | 2024-05-23 03:26:43 (UTC+3)
dragon_scale | [s] 2622 => 3528 | [h] caad28ab0c => 67ca84c71f | 2024-05-23 03:26:43 (UTC+3)
duelist_gloves | [s] 2382 => 3216 | [h] 551cf3405a => ef8646a9d9 | 2024-05-23 03:26:43 (UTC+3)
dust | [s] 2965 => 3943 | [h] 74060f2d9f => 316c81b382 | 2024-05-23 03:26:43 (UTC+3)
eagle | [s] 2089 => 2779 | [h] 98dc45cbbd => ac85820f0c | 2024-05-23 03:26:43 (UTC+3)
echo_sabre | [s] 2799 => 3782 | [h] 116628c413 => e646b85af1 | 2024-05-23 03:26:43 (UTC+3)
elixer | [s] 2450 => 3252 | [h] 92d68ee20d => 73e5dd5b8f | 2024-05-23 03:26:43 (UTC+3)
elven_tunic | [s] 2327 => 3161 | [h] f8a390f4bf => 0d7d54b901 | 2024-05-23 03:26:43 (UTC+3)
enchanted_mango | [s] 2367 => 3097 | [h] e7f81d631c => 03bea8146d | 2024-05-23 03:26:43 (UTC+3)
enchanted_quiver | [s] 2562 => 3396 | [h] bd6902e8d9 => 58d72948eb | 2024-05-23 03:26:43 (UTC+3)
energy_booster | [s] 2104 => 2794 | [h] 36425dd1d2 => 9b526bb654 | 2024-05-23 03:26:43 (UTC+3)
essence_ring | [s] 2587 => 3493 | [h] 72021e8851 => 2902e858d4 | 2024-05-23 03:26:43 (UTC+3)
eternal_shroud | [s] 3428 => 4622 | [h] 35f0ea857d => b3b099722b | 2024-05-23 03:26:43 (UTC+3)
ethereal_blade | [s] 4517 => 6039 | [h] d717125330 => f70c45ce89 | 2024-05-23 03:26:43 (UTC+3)
ex_machina | [s] 2152 => 2842 | [h] e4c595f2ec => 01a0e73f25 | 2024-05-23 03:26:43 (UTC+3)
eye_of_the_vizier | [s] 2436 => 3270 | [h] 0952455994 => e5f50350af | 2024-05-23 03:26:43 (UTC+3)
faded_broach | [s] 2201 => 2963 | [h] 18aafe4e35 => 44bccbc7be | 2024-05-23 03:26:43 (UTC+3)
faerie_fire | [s] 2270 => 3032 | [h] 8d87682c6c => d39f5a7abf | 2024-05-23 03:26:43 (UTC+3)
falcon_blade | [s] 2366 => 3200 | [h] b5d7a71b51 => 44c2fc7791 | 2024-05-23 03:26:43 (UTC+3)
fallen_sky | [s] 4598 => 6262 | [h] f954d72ee6 => ef73e8ab3e | 2024-05-23 03:26:43 (UTC+3)
famango | [s] 2157 => 2815 | [h] 56e16aff89 => 8c14e96cc9 | 2024-05-23 03:26:43 (UTC+3)
flask | [s] 2607 => 3409 | [h] 1f597723da => 683b86653f | 2024-05-23 03:26:43 (UTC+3)
flicker | [s] 2667 => 3501 | [h] 2f79641a0d => 28fa4c2b39 | 2024-05-23 03:26:43 (UTC+3)
fluffy_hat | [s] 2050 => 2740 | [h] f65f7a681f => f577d19278 | 2024-05-23 03:26:43 (UTC+3)
flying_courier | [s] 2129 => 2747 | [h] 7bb4306f1b => ef79ca8865 | 2024-05-23 03:26:43 (UTC+3)
force_boots | [s] 2854 => 3760 | [h] 7d6e646e34 => 51ecb1ce3c | 2024-05-23 03:26:43 (UTC+3)
force_field | [s] 3080 => 4130 | [h] 9682d4ffc5 => f43f60a029 | 2024-05-23 03:26:43 (UTC+3)
force_staff | [s] 2913 => 3859 | [h] 64873b3869 => 51bfed16a8 | 2024-05-23 03:26:43 (UTC+3)
fortitude_ring | [s] 2413 => 3319 | [h] 10f9522e23 => 0648ca6dda | 2024-05-23 03:26:43 (UTC+3)
fusion_rune | [s] 2119 => 2809 | [h] 434bde3f11 => 04f40e9b67 | 2024-05-23 03:26:43 (UTC+3)
gauntlets | [s] 2043 => 2733 | [h] bedf35ce09 => 7eef231b51 | 2024-05-23 03:26:43 (UTC+3)
gem | [s] 2794 => 3628 | [h] 412010863d => e92d3a0f30 | 2024-05-23 03:26:43 (UTC+3)
ghost | [s] 2684 => 3518 | [h] e6a9829029 => dc48e72b63 | 2024-05-23 03:26:43 (UTC+3)
giants_ring | [s] 2819 => 3797 | [h] c00ee58149 => 34a29cbf58 | 2024-05-23 03:26:43 (UTC+3)
gladiator_helm | [s] 2486 => 3392 | [h] aeec86618a => 492e8a6dd8 | 2024-05-23 03:26:43 (UTC+3)
glimmer_cape | [s] 3076 => 4094 | [h] e5c3bb5900 => a9c4da8c14 | 2024-05-23 03:26:43 (UTC+3)
gloves | [s] 2060 => 2750 | [h] febf45efb9 => a201993839 | 2024-05-23 03:26:43 (UTC+3)
gloves_of_travel | [s] 2243 => 3005 | [h] 8865971d25 => a689476aed | 2024-05-23 03:26:43 (UTC+3)
gossamer_cape | [s] 2071 => 2761 | [h] bda2be365b => c024865a5b | 2024-05-23 03:26:43 (UTC+3)
grandmasters_glaive | [s] 4811 => 6941 | [h] 15db89c69b => 961baba5cd | 2024-05-23 03:26:43 (UTC+3)
great_famango | [s] 2169 => 2827 | [h] fe7253d6b2 => 5084c0df4c | 2024-05-23 03:26:43 (UTC+3)
greater_crit | [s] 2517 => 3351 | [h] 9d4c62f5a0 => 4e69287610 | 2024-05-23 03:26:43 (UTC+3)
greater_faerie_fire | [s] 2203 => 2965 | [h] 4560b298ee => 8300d1b582 | 2024-05-23 03:26:43 (UTC+3)
greater_famango | [s] 2173 => 2831 | [h] 0c3909092b => 86fb2efc3e | 2024-05-23 03:26:43 (UTC+3)
greater_mango | [s] 2012 => 2630 | [h] 254a909537 => cb9e4a5754 | 2024-05-23 03:26:43 (UTC+3)
grisgris | [s] None => 3164 | [h] None => 792d674c80 | 2024-05-23 03:26:43 (UTC+3)
grove_bow | [s] 2608 => 3514 | [h] abc7c3ced3 => 62598a46b5 | 2024-05-23 03:26:43 (UTC+3)
guardian_greaves | [s] 4926 => 6624 | [h] 8fe20698e6 => 481abc65a1 | 2024-05-23 03:26:43 (UTC+3)
gungir | [s] 4329 => 5923 | [h] 0ca81c0e2c => cc4d09c9a2 | 2024-05-23 03:26:43 (UTC+3)
hand_of_midas | [s] 2805 => 3607 | [h] 852709df3a => 0f95f97409 | 2024-05-23 03:26:43 (UTC+3)
harpoon | [s] 4475 => 6173 | [h] 675faa0d3a => 291c2554c6 | 2024-05-23 03:26:43 (UTC+3)
havoc_hammer | [s] 3387 => 4725 | [h] 60e62b457a => 3a505749e1 | 2024-05-23 03:26:43 (UTC+3)
headdress | [s] 2445 => 3279 | [h] 53f7b2b36b => a16d717f80 | 2024-05-23 03:26:43 (UTC+3)
heart | [s] 2221 => 2983 | [h] 1395548991 => 4ccee59187 | 2024-05-23 03:26:43 (UTC+3)
heavens_halberd | [s] 3036 => 4050 | [h] 10dc09e668 => 50b824de75 | 2024-05-23 03:26:43 (UTC+3)
heavy_blade | [s] 2656 => 3490 | [h] f6f8a76bf1 => 24ab9575c8 | 2024-05-23 03:26:43 (UTC+3)
helm_of_iron_will | [s] 2193 => 2955 | [h] a5a3883a58 => f64a75da5c | 2024-05-23 03:26:43 (UTC+3)
helm_of_the_dominator | [s] 4540 => 6062 | [h] 47ef73840f => 8b2e2f8fab | 2024-05-23 03:26:43 (UTC+3)
helm_of_the_overlord | [s] 4460 => 5982 | [h] 53b90433a1 => 8d36113e72 | 2024-05-23 03:26:43 (UTC+3)
helm_of_the_undying | [s] 2233 => 2995 | [h] 62a8db6fa8 => 2200beeccc | 2024-05-23 03:26:43 (UTC+3)
hermes_sandals | [s] 3444 => 4638 | [h] cff15ad4c7 => 7524bb602e | 2024-05-23 03:26:43 (UTC+3)
holy_locket | [s] 3522 => 4788 | [h] cdd14b8b89 => 6d66294cfb | 2024-05-23 03:26:43 (UTC+3)
hood_of_defiance | [s] 2839 => 3817 | [h] cc72370e97 => 7ac0e114fe | 2024-05-23 03:26:43 (UTC+3)
horizon | [s] 2335 => 3065 | [h] 2079210b91 => 590a928ecd | 2024-05-23 03:26:43 (UTC+3)
horizons_equilibrium | [s] 2756 => 3734 | [h] 52fda99e17 => f3fe0bfeea | 2024-05-23 03:26:43 (UTC+3)
hurricane_pike | [s] 4553 => 6179 | [h] 1ea8b92739 => 181f812215 | 2024-05-23 03:26:43 (UTC+3)
hyperstone | [s] 2057 => 2747 | [h] ae1b58b659 => 8328f10c25 | 2024-05-23 03:26:43 (UTC+3)
icarus_wings | [s] 2509 => 3487 | [h] 056f6ae1ca => 68d5c7ea4f | 2024-05-23 03:26:43 (UTC+3)
illusionsts_cape | [s] 3364 => 4558 | [h] 57f45758e0 => 7a49f411b1 | 2024-05-23 03:26:43 (UTC+3)
imp_claw | [s] 2365 => 3127 | [h] 55fef4e58d => 7d4b5b5c90 | 2024-05-23 03:26:43 (UTC+3)
infused_raindrop | [s] 2745 => 3651 | [h] 379deb856b => 4126f030fa | 2024-05-23 03:26:43 (UTC+3)
invis_sword | [s] 3261 => 4311 | [h] 03d25536b4 => 34da66e1ee | 2024-05-23 03:26:43 (UTC+3)
iron_talon | [s] 3040 => 4062 | [h] d16c67599f => 943e0e5ad7 | 2024-05-23 03:26:43 (UTC+3)
ironwood_tree | [s] 2311 => 3041 | [h] 2425a39772 => c86d5f51bc | 2024-05-23 03:26:43 (UTC+3)
javelin | [s] 2356 => 3118 | [h] 3beadb5c15 => 2471ff2d55 | 2024-05-23 03:26:43 (UTC+3)
kaya | [s] 2576 => 3482 | [h] 4cd80e108c => 74771ec643 | 2024-05-23 03:26:43 (UTC+3)
kaya_and_sange | [s] 3054 => 4414 | [h] 6c8a4ffe57 => f9a8abd527 | 2024-05-23 03:26:43 (UTC+3)
keen_optic | [s] 2233 => 2995 | [h] 20f3217f98 => cadc833f3f | 2024-05-23 03:26:43 (UTC+3)
lance_of_pursuit | [s] 3078 => 4200 | [h] 263d4289c0 => 5ca8eac635 | 2024-05-23 03:26:43 (UTC+3)
lesser_crit | [s] 2636 => 3542 | [h] 3d65625c92 => d5b9acd578 | 2024-05-23 03:26:43 (UTC+3)
lifesteal | [s] 2362 => 3124 | [h] b4d9aab371 => 80552d49c2 | 2024-05-23 03:26:43 (UTC+3)
light_collector | [s] 3313 => 4507 | [h] f1ab7e4743 => 37d8fd9761 | 2024-05-23 03:26:43 (UTC+3)
light_robes | [s] 2118 => 2880 | [h] 1416a541f4 => 56e582bf90 | 2024-05-23 03:26:43 (UTC+3)
lotus_orb | [s] 2972 => 3918 | [h] c91e0f5024 => 8dd2c50018 | 2024-05-23 03:26:43 (UTC+3)
lunar_crest | [s] 2860 => 3910 | [h] eaf6c42294 => 5c34322c9d | 2024-05-23 03:26:43 (UTC+3)
maelstrom | [s] 3512 => 4778 | [h] 2c08c06327 => 13b06445e7 | 2024-05-23 03:26:43 (UTC+3)
mage_slayer | [s] 3102 => 4224 | [h] c9d11c5bfd => 733145aeb2 | 2024-05-23 03:26:43 (UTC+3)
magic_stick | [s] 2729 => 3563 | [h] 8926710fc5 => 026bb76f12 | 2024-05-23 03:26:43 (UTC+3)
magic_wand | [s] 2867 => 3773 | [h] 120d3fc9ca => 152977937e | 2024-05-23 03:26:43 (UTC+3)
manacles_of_power | [s] 2539 => 3517 | [h] 1a94486924 => a9c82965e6 | 2024-05-23 03:26:43 (UTC+3)
mango_tree | [s] 2231 => 2889 | [h] 7de7d95640 => 1a3871e6ed | 2024-05-23 03:26:43 (UTC+3)
manta | [s] 4721 => 6419 | [h] a3aac18c22 => 80db8f621c | 2024-05-23 03:26:43 (UTC+3)
mantle | [s] 2053 => 2743 | [h] 07bb942bac => 53e18c1da6 | 2024-05-23 03:26:43 (UTC+3)
martyrs_plate | [s] 2710 => 3688 | [h] 97cf926b0d => 503a5f8d17 | 2024-05-23 03:26:43 (UTC+3)
mask_of_madness | [s] 3358 => 4480 | [h] 7d0be6ce85 => 74ea6ab52a | 2024-05-23 03:26:43 (UTC+3)
mechanical_arm | [s] 2248 => 3082 | [h] 47cbca88cc => 7695fe3e2d | 2024-05-23 03:26:43 (UTC+3)
medallion_of_courage | [s] 2779 => 3653 | [h] 35708c3c29 => ee09d86868 | 2024-05-23 03:26:43 (UTC+3)
mekansm | [s] 3010 => 3988 | [h] a6c224f1fc => d85cfa0f57 | 2024-05-23 03:26:43 (UTC+3)
meteor_hammer | [s] 5205 => 7119 | [h] 2512e9d209 => 106c9b78a6 | 2024-05-23 03:26:43 (UTC+3)
mind_breaker | [s] 2469 => 3303 | [h] b3301ea1b7 => b0404988f3 | 2024-05-23 03:26:43 (UTC+3)
minotaur_horn | [s] 2285 => 3047 | [h] 80c83a583f => 1abbe7324a | 2024-05-23 03:26:43 (UTC+3)
mirror_shield | [s] 2443 => 3277 | [h] c9f015784f => 15b94fa57d | 2024-05-23 03:26:43 (UTC+3)
misericorde | [s] 2620 => 3526 | [h] 0df48ce651 => 6a8ebf5199 | 2024-05-23 03:26:43 (UTC+3)
mithril_hammer | [s] 2028 => 2718 | [h] 3ce7b3709a => 346840ca8e | 2024-05-23 03:26:43 (UTC+3)
mjollnir | [s] 5332 => 7214 | [h] 4f830bfb97 => b820d4664e | 2024-05-23 03:26:43 (UTC+3)
monkey_king_bar | [s] 2613 => 3519 | [h] d156b8540a => a841944fad | 2024-05-23 03:26:43 (UTC+3)
moon_shard | [s] 2723 => 3629 | [h] f4a38eda2a => f21d7e1329 | 2024-05-23 03:26:43 (UTC+3)
muertas_gun | [s] 4399 => 5953 | [h] daacf0a62c => 11ec1295d1 | 2024-05-23 03:26:43 (UTC+3)
mutation_tombstone | [s] 1864 => 2482 | [h] 2d7c39e101 => df741eb4c8 | 2024-05-23 03:26:43 (UTC+3)
mysterious_hat | [s] 2402 => 3236 | [h] ba58ec7290 => 086943b4d8 | 2024-05-23 03:26:43 (UTC+3)
mystic_staff | [s] 2050 => 2740 | [h] 28031eaa69 => af7e222733 | 2024-05-23 03:26:43 (UTC+3)
necronomicon | [s] 4684 => 6310 | [h] 7039e048be => a70dc05622 | 2024-05-23 03:26:43 (UTC+3)
necronomicon_2 | [s] 4686 => 6312 | [h] 8c003f11be => b9ef88953c | 2024-05-23 03:26:43 (UTC+3)
necronomicon_3 | [s] 4686 => 6312 | [h] a17414d97d => e0848ef05d | 2024-05-23 03:26:43 (UTC+3)
nemesis_curse | [s] 2712 => 3618 | [h] 967e012c7e => a7a8e47aa2 | 2024-05-23 03:26:43 (UTC+3)
nether_shawl | [s] 2392 => 3226 | [h] 7640032d6d => 9f99b131de | 2024-05-23 03:26:43 (UTC+3)
ninja_gear | [s] 2885 => 3935 | [h] 7e416c9432 => e09ecb3595 | 2024-05-23 03:26:43 (UTC+3)
null_talisman | [s] 2820 => 3870 | [h] 6c2d66da3d => a3a99f9f36 | 2024-05-23 03:26:43 (UTC+3)
nullifier | [s] 3159 => 4281 | [h] db4d8046b3 => fd82e5fcc3 | 2024-05-23 03:26:43 (UTC+3)
oakheart | [s] 2430 => 3264 | [h] 7a10c4cba6 => d4c7f91be7 | 2024-05-23 03:26:43 (UTC+3)
oblivion_staff | [s] 2416 => 3250 | [h] fe60c63185 => 302b09f970 | 2024-05-23 03:26:43 (UTC+3)
occult_bracelet | [s] 2791 => 3769 | [h] a671b7236b => 58bcc4a94c | 2024-05-23 03:26:43 (UTC+3)
ocean_heart | [s] 2423 => 3257 | [h] 7af9811fff => 90fa857b20 | 2024-05-23 03:26:43 (UTC+3)
octarine_core | [s] 2737 => 3715 | [h] 90ca9af3e0 => 85a6475048 | 2024-05-23 03:26:43 (UTC+3)
ofrenda | [s] 2176 => 2866 | [h] 8986222a44 => 6907361f25 | 2024-05-23 03:26:43 (UTC+3)
ofrenda_pledge | [s] 2536 => 3370 | [h] fa5746de88 => 4715010f09 | 2024-05-23 03:26:43 (UTC+3)
ofrenda_shovel | [s] 2022 => 2640 | [h] c742a7b34f => 2cca60973f | 2024-05-23 03:26:43 (UTC+3)
ogre_axe | [s] 2021 => 2711 | [h] b3cff54921 => 837ad8b63d | 2024-05-23 03:26:43 (UTC+3)
ogre_seal_totem | [s] 3312 => 4578 | [h] f2448b3228 => 43456dbb04 | 2024-05-23 03:26:43 (UTC+3)
orb_of_corrosion | [s] 3225 => 4347 | [h] 8d794b442e => 9fd6f99458 | 2024-05-23 03:26:43 (UTC+3)
orb_of_destruction | [s] 2668 => 3574 | [h] 9aa70922a6 => 064b60be98 | 2024-05-23 03:26:43 (UTC+3)
orb_of_venom | [s] 2946 => 3924 | [h] 2dd4b01d2f => 3f55297152 | 2024-05-23 03:26:43 (UTC+3)
orchid | [s] 3180 => 4270 | [h] 5c8f71d70b => cf2bd3721c | 2024-05-23 03:26:43 (UTC+3)
overflowing_elixir | [s] 2333 => 3167 | [h] 89ac2ef6d6 => 69470bab0d | 2024-05-23 03:26:43 (UTC+3)
overwhelming_blink | [s] 4206 => 5616 | [h] 1076d82c14 => 02d5a485bc | 2024-05-23 03:26:43 (UTC+3)
paintball | [s] 2554 => 3388 | [h] 8c87910353 => 11d8738f65 | 2024-05-23 03:26:43 (UTC+3)
paladin_sword | [s] 2832 => 3810 | [h] 7155369fce => 04f98013f5 | 2024-05-23 03:26:43 (UTC+3)
panic_button | [s] 2403 => 3237 | [h] 21ecbbe33b => 11fc116eb0 | 2024-05-23 03:26:43 (UTC+3)
pavise | [s] 2719 => 3665 | [h] 48e1ead891 => 81411be6cd | 2024-05-23 03:26:43 (UTC+3)
penta_edged_sword | [s] 3007 => 4057 | [h] dd0c8e2207 => 7386d9e41b | 2024-05-23 03:26:43 (UTC+3)
pers | [s] 2184 => 2946 | [h] ce13d97d3d => 305010dfa8 | 2024-05-23 03:26:43 (UTC+3)
phase_boots | [s] 3791 => 5201 | [h] b679db6cc6 => 31f8dfd6cc | 2024-05-23 03:26:43 (UTC+3)
philosophers_stone | [s] 2393 => 3227 | [h] f42f99e40f => ce48bdcf34 | 2024-05-23 03:26:43 (UTC+3)
phoenix_ash | [s] 2147 => 2837 | [h] 51696c8f9d => 4c2b88e7ae | 2024-05-23 03:26:43 (UTC+3)
phylactery | [s] 2870 => 3920 | [h] 7bfab63675 => be5bf2a916 | 2024-05-23 03:26:43 (UTC+3)
pipe | [s] 4089 => 5571 | [h] 5fb8092d6a => a56c72f371 | 2024-05-23 03:26:43 (UTC+3)
pirate_hat | [s] 2292 => 3054 | [h] b8a997574a => 4de3dafe68 | 2024-05-23 03:26:43 (UTC+3)
platemail | [s] 2062 => 2752 | [h] f262e1b63b => bdc5b26dba | 2024-05-23 03:26:43 (UTC+3)
pocket_roshan | [s] 1997 => 2687 | [h] 7377813d10 => 80e1a9228c | 2024-05-23 03:26:43 (UTC+3)
pocket_tower | [s] 1857 => 2475 | [h] f0e3913be0 => 7332e44751 | 2024-05-23 03:26:43 (UTC+3)
pogo_stick | [s] 2637 => 3543 | [h] 48472de1fd => d39f1cd3e7 | 2024-05-23 03:26:43 (UTC+3)
point_booster | [s] 2202 => 2964 | [h] 75b030e822 => 3accd93028 | 2024-05-23 03:26:43 (UTC+3)
poor_mans_shield | [s] 2895 => 3873 | [h] 2075877021 => 42011bad1a | 2024-05-23 03:26:43 (UTC+3)
possessed_mask | [s] 2419 => 3181 | [h] 50e27bf7f5 => 137949fe34 | 2024-05-23 03:26:43 (UTC+3)
power_treads | [s] 3000 => 3978 | [h] ee1fa1ccd5 => 1d0e5fd8f7 | 2024-05-23 03:26:43 (UTC+3)
princes_knife | [s] 2379 => 3213 | [h] 0118726c57 => 3194f95e44 | 2024-05-23 03:26:43 (UTC+3)
psychic_headband | [s] 2583 => 3489 | [h] 7afe696d3b => 4cb6af9979 | 2024-05-23 03:26:43 (UTC+3)
pupils_gift | [s] 2147 => 2837 | [h] 3e1cbdd73a => 4fae59ddea | 2024-05-23 03:26:43 (UTC+3)
quarterstaff | [s] 2181 => 2943 | [h] ff54e94369 => 1e1ddb8f17 | 2024-05-23 03:26:43 (UTC+3)
quelling_blade | [s] 2643 => 3440 | [h] b6d609b3a1 => 418b1fc821 | 2024-05-23 03:26:43 (UTC+3)
quickening_charm | [s] 2288 => 3050 | [h] 66aa4e4554 => ce39aaa08e | 2024-05-23 03:26:43 (UTC+3)
quicksilver_amulet | [s] 2957 => 4007 | [h] a71d88b69a => 7b1d26b4a7 | 2024-05-23 03:26:43 (UTC+3)
radiance | [s] 3356 => 4546 | [h] 9a228831fc => 9fdc1d7a8c | 2024-05-23 03:26:43 (UTC+3)
rapier | [s] 2911 => 3745 | [h] eac7840434 => fd97b06688 | 2024-05-23 03:26:43 (UTC+3)
rattlecage | [s] 3389 => 4655 | [h] e5d0fcda78 => 8191222d9e | 2024-05-23 03:26:43 (UTC+3)
reaver | [s] 2034 => 2724 | [h] 2eacbc537f => d00571cc42 | 2024-05-23 03:26:43 (UTC+3)
recipe_abyssal_blade | [s] 1868 => 2486 | [h] 0258a4b3b6 => 5a7b9f6e2c | 2024-05-23 03:26:43 (UTC+3)
recipe_aeon_disk | [s] 1860 => 2478 | [h] 62a0d0180d => 190cd5bfd0 | 2024-05-23 03:26:43 (UTC+3)
recipe_aether_lens | [s] 1863 => 2481 | [h] f13d72ca88 => 7953805ec2 | 2024-05-23 03:26:43 (UTC+3)
recipe_ancient_janggo | [s] 1872 => 2490 | [h] 1c4909b645 => cbc1c109cb | 2024-05-23 03:26:43 (UTC+3)
recipe_angels_demise | [s] 1861 => 2479 | [h] 836b628580 => d5ea65879a | 2024-05-23 03:26:43 (UTC+3)
recipe_arcane_blink | [s] 1866 => 2484 | [h] 94de94ca7a => 992f486d73 | 2024-05-23 03:26:43 (UTC+3)
recipe_arcane_boots | [s] 1865 => 2483 | [h] a398e5a723 => c998560924 | 2024-05-23 03:26:43 (UTC+3)
recipe_armlet | [s] 1867 => 2485 | [h] 6509092901 => 31e85b4c69 | 2024-05-23 03:26:43 (UTC+3)
recipe_assault | [s] 1864 => 2482 | [h] 838b2937bd => 2cf1a12619 | 2024-05-23 03:26:43 (UTC+3)
recipe_basher | [s] 1859 => 2477 | [h] d2df6530dc => 3b0e21e922 | 2024-05-23 03:26:43 (UTC+3)
recipe_bfury | [s] 1857 => 2475 | [h] 5c6c2aaa70 => 5fc20230d1 | 2024-05-23 03:26:43 (UTC+3)
recipe_black_king_bar | [s] 1870 => 2488 | [h] 276a29087d => 77621de8da | 2024-05-23 03:26:43 (UTC+3)
recipe_blade_mail | [s] 1861 => 2479 | [h] cc7934b41e => f95f5d001f | 2024-05-23 03:26:43 (UTC+3)
recipe_bloodstone | [s] 1859 => 2477 | [h] 667de67d3e => a74978af22 | 2024-05-23 03:26:43 (UTC+3)
recipe_bloodthorn | [s] 1861 => 2479 | [h] 05ca98d28e => e13d9e2ec6 | 2024-05-23 03:26:43 (UTC+3)
recipe_boots_of_bearing | [s] 1874 => 2492 | [h] 04a46e9497 => ef8cd88541 | 2024-05-23 03:26:43 (UTC+3)
