1016788877_Relics of Glorious Inspiration Loading Screen | [s] None => 1749 | [h] None => 7760bbe9ff | 2024-03-21 18:05:56 (UTC+3)
4656760203_KBU.US Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2136 => 2271 | [h] 91ac04f6d5 => f7f7607f60 | 2024-12-19 18:02:32 (UTC+3)
4656760204_Nemiga Gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2157 | [h] None => 1281a6cb1b | 2024-03-21 18:05:58 (UTC+3)
4656760204_Nemiga Gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2157 => 2292 | [h] 1281a6cb1b => 89c36ce548 | 2024-12-19 18:02:32 (UTC+3)
4656760205_DogChamp Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2142 | [h] None => 994751fede | 2024-03-21 18:05:58 (UTC+3)
4656760205_DogChamp Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2142 => 2277 | [h] 994751fede => 406323fb80 | 2024-12-19 18:02:32 (UTC+3)
4656760207_Team Empire Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2145 | [h] None => fe18910b38 | 2024-03-21 18:05:58 (UTC+3)
4656760207_Team Empire Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2145 => 2280 | [h] fe18910b38 => 17a8a389fe | 2024-12-19 18:02:32 (UTC+3)
4656760208_Team Empire Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2115 | [h] None => 822d417a70 | 2024-03-21 18:05:58 (UTC+3)
4656760208_Team Empire Card Pack - DPC Winter Tour - 2021-2022 | [s] 2115 => 2250 | [h] 822d417a70 => e294d6e9e9 | 2024-12-19 18:02:32 (UTC+3)
4656760209_Quincy Crew Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2151 | [h] None => f707644239 | 2024-03-21 18:05:58 (UTC+3)
4656760209_Quincy Crew Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2151 => 2286 | [h] f707644239 => cf2cc10982 | 2024-12-19 18:02:32 (UTC+3)
4656760210_Quincy Crew Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2121 | [h] None => 51e155b95f | 2024-03-21 18:05:58 (UTC+3)
4656760210_Quincy Crew Card Pack - DPC Winter Tour - 2021-2022 | [s] 2121 => 2256 | [h] 51e155b95f => 4c5b490d53 | 2024-12-19 18:02:32 (UTC+3)
4656760211_AS Monaco Gambit Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2166 | [h] None => 579feb9e45 | 2024-03-21 18:05:58 (UTC+3)
4656760211_AS Monaco Gambit Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2166 => 2301 | [h] 579feb9e45 => b1b398e157 | 2024-12-19 18:02:32 (UTC+3)
4656760212_AS Monaco Gambit Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2136 | [h] None => 0067a121d0 | 2024-03-21 18:05:58 (UTC+3)
4656760212_AS Monaco Gambit Card Pack - DPC Winter Tour - 2021-2022 | [s] 2136 => 2271 | [h] 0067a121d0 => 38049eab17 | 2024-12-19 18:02:32 (UTC+3)
4656760213_Winstrike Team Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2160 | [h] None => e4216b7c30 | 2024-03-21 18:05:58 (UTC+3)
4656760213_Winstrike Team Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2160 => 2295 | [h] e4216b7c30 => 8bfc512645 | 2024-12-19 18:02:32 (UTC+3)
4656760214_Entity Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2136 | [h] None => f252a18dff | 2024-03-21 18:05:58 (UTC+3)
4656760214_Entity Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2136 => 2271 | [h] f252a18dff => 86cf8059c4 | 2024-12-19 18:02:32 (UTC+3)
4656760215_Gambit Esports Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2160 | [h] None => dfdea609fc | 2024-03-21 18:05:58 (UTC+3)
4656760215_Gambit Esports Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2160 => 2295 | [h] dfdea609fc => 73481104e5 | 2024-12-19 18:02:32 (UTC+3)
4656760216_Inverse Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2139 | [h] None => ce6cf0b7aa | 2024-03-21 18:05:58 (UTC+3)
4656760216_Inverse Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2139 => 2274 | [h] ce6cf0b7aa => a513f3dc34 | 2024-12-19 18:02:32 (UTC+3)
4656760217_Unknown Team Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2154 | [h] None => ec30c6ace3 | 2024-03-21 18:05:58 (UTC+3)
4656760217_Unknown Team Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2154 => 2289 | [h] ec30c6ace3 => 343a1d11c6 | 2024-12-19 18:02:32 (UTC+3)
4656760218_CDEC  Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2133 | [h] None => afff3cc2b2 | 2024-03-21 18:05:58 (UTC+3)
4656760218_CDEC  Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2133 => 2268 | [h] afff3cc2b2 => 253daba2cf | 2024-12-19 18:02:32 (UTC+3)
4656760219_PSG.LGD Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2133 | [h] None => 3d20b5aed3 | 2024-03-21 18:05:58 (UTC+3)
4656760219_PSG.LGD Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2133 => 2268 | [h] 3d20b5aed3 => 330d55fe7b | 2024-12-19 18:02:32 (UTC+3)
4656760220_PSG.LGD Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2103 | [h] None => 571ee9477d | 2024-03-21 18:05:58 (UTC+3)
4656760220_PSG.LGD Card Pack - DPC Winter Tour - 2021-2022 | [s] 2103 => 2238 | [h] 571ee9477d => c37dc1ce38 | 2024-12-19 18:02:32 (UTC+3)
4656760221_Chicken Fighters Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2166 | [h] None => 9149789dd6 | 2024-03-21 18:05:58 (UTC+3)
4656760221_Chicken Fighters Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2166 => 2301 | [h] 9149789dd6 => 3dcec47db0 | 2024-12-19 18:02:32 (UTC+3)
4656760222_Brame Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2133 | [h] None => afa6c5de0b | 2024-03-21 18:05:58 (UTC+3)
4656760222_Brame Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2133 => 2268 | [h] afa6c5de0b => 27c042f669 | 2024-12-19 18:02:32 (UTC+3)
4656760223_5ManMidas Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2145 | [h] None => 1444aed64e | 2024-03-21 18:05:58 (UTC+3)
4656760223_5ManMidas Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2145 => 2280 | [h] 1444aed64e => ec6864ca68 | 2024-12-19 18:02:32 (UTC+3)
4656760224_Into The Breach Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2163 | [h] None => 593a631470 | 2024-03-21 18:05:58 (UTC+3)
4656760224_Into The Breach Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2163 => 2298 | [h] 593a631470 => 70636b41ba | 2024-12-19 18:02:32 (UTC+3)
4656760225_phoenix gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2160 | [h] None => 986a6d2acc | 2024-03-21 18:05:58 (UTC+3)
4656760225_phoenix gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2160 => 2295 | [h] 986a6d2acc => 7bcaee14a5 | 2024-12-19 18:02:32 (UTC+3)
4656760226_phoenix gaming Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2130 | [h] None => ce1db93068 | 2024-03-21 18:05:58 (UTC+3)
4656760226_phoenix gaming Card Pack - DPC Winter Tour - 2021-2022 | [s] 2130 => 2265 | [h] ce1db93068 => e05470eb40 | 2024-12-19 18:02:32 (UTC+3)
4656760227_CHILLAX Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2139 | [h] None => b1b7b3fd55 | 2024-03-21 18:05:58 (UTC+3)
4656760227_CHILLAX Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2139 => 2274 | [h] b1b7b3fd55 => 930f9501af | 2024-12-19 18:02:32 (UTC+3)
4656760228_HYDRA Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2133 | [h] None => d1dc0a420c | 2024-03-21 18:05:58 (UTC+3)
4656760228_HYDRA Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2133 => 2268 | [h] d1dc0a420c => 1053059b60 | 2024-12-19 18:02:32 (UTC+3)
4656760229_Ghost Frogs Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2151 | [h] None => 2d7d945ca5 | 2024-03-21 18:05:58 (UTC+3)
4656760229_Ghost Frogs Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2151 => 2286 | [h] 2d7d945ca5 => d6e402d773 | 2024-12-19 18:02:32 (UTC+3)
4656760230_The Cut Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2139 | [h] None => 8060d454e0 | 2024-03-21 18:05:58 (UTC+3)
4656760230_The Cut Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2139 => 2274 | [h] 8060d454e0 => 01d484667b | 2024-12-19 18:02:32 (UTC+3)
4656760231_TNC Predator Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2154 | [h] None => b1854fff15 | 2024-03-21 18:05:58 (UTC+3)
4656760231_TNC Predator Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2154 => 2289 | [h] b1854fff15 => 3242a64e1b | 2024-12-19 18:02:32 (UTC+3)
4656760232_TNC Predator Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2124 | [h] None => ab6482c461 | 2024-03-21 18:05:58 (UTC+3)
4656760232_TNC Predator Card Pack - DPC Winter Tour - 2021-2022 | [s] 2124 => 2259 | [h] ab6482c461 => d012d25c90 | 2024-12-19 18:02:32 (UTC+3)
4656760233_No Bounty Hunter Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2166 | [h] None => 407b399abe | 2024-03-21 18:05:58 (UTC+3)
4656760233_No Bounty Hunter Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2166 => 2301 | [h] 407b399abe => 52b7623fae | 2024-12-19 18:02:32 (UTC+3)
4656760234_Interitus Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2145 | [h] None => 133cba8443 | 2024-03-21 18:05:58 (UTC+3)
4656760234_Interitus Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2145 => 2280 | [h] 133cba8443 => 90b057113e | 2024-12-19 18:02:32 (UTC+3)
4656760235_Aster.Aries Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2151 | [h] None => c2675e52d0 | 2024-03-21 18:05:58 (UTC+3)
4656760235_Aster.Aries Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2151 => 2286 | [h] c2675e52d0 => 4093159b70 | 2024-12-19 18:02:32 (UTC+3)
4656760236_EHOME Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2125 | [h] None => 55ec267320 | 2024-03-21 18:05:58 (UTC+3)
4656760236_EHOME Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2125 => 2260 | [h] 55ec267320 => fa7e61e6da | 2024-12-19 18:02:32 (UTC+3)
4656760237_EHOME Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2095 | [h] None => a6582552d0 | 2024-03-21 18:05:58 (UTC+3)
4656760237_EHOME Card Pack - DPC Winter Tour - 2021-2022 | [s] 2095 => 2230 | [h] a6582552d0 => 107f2c1609 | 2024-12-19 18:02:32 (UTC+3)
4656760238_Team Aster Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2148 | [h] None => 2a08c032d1 | 2024-03-21 18:05:58 (UTC+3)
4656760238_Team Aster Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2148 => 2283 | [h] 2a08c032d1 => ebfc8e08cb | 2024-12-19 18:02:32 (UTC+3)
4656760239_Team Aster Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2118 | [h] None => f48349645c | 2024-03-21 18:05:58 (UTC+3)
4656760239_Team Aster Card Pack - DPC Winter Tour - 2021-2022 | [s] 2118 => 2253 | [h] f48349645c => 24396d5b45 | 2024-12-19 18:02:32 (UTC+3)
4656922796_Nigma Galaxy Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2124 | [h] None => cd01100d33 | 2024-03-21 18:05:58 (UTC+3)
4656922796_Nigma Galaxy Card Pack - DPC Winter Tour - 2021-2022 | [s] 2124 => 2259 | [h] cd01100d33 => 6eb811ae1d | 2024-12-19 18:02:32 (UTC+3)
4658222689_Lava BestPc Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2151 | [h] None => c0bffcc684 | 2024-03-21 18:05:58 (UTC+3)
4658222689_Lava BestPc Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2151 => 2286 | [h] c0bffcc684 => 3d246ce1c3 | 2024-12-19 18:02:32 (UTC+3)
4658222690_Lava BestPc Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2121 | [h] None => a662e7985f | 2024-03-21 18:05:58 (UTC+3)
4658222690_Lava BestPc Card Pack - DPC Winter Tour - 2021-2022 | [s] 2121 => 2256 | [h] a662e7985f => 18d9f317eb | 2024-12-19 18:02:32 (UTC+3)
4658222692_Xtreme  Gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2163 | [h] None => 805a831a4d | 2024-03-21 18:05:58 (UTC+3)
4658222692_Xtreme  Gaming Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2163 => 2298 | [h] 805a831a4d => 4827004a6c | 2024-12-19 18:02:32 (UTC+3)
4658222693_Black N Yellow Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2160 | [h] None => 1a4211488a | 2024-03-21 18:05:58 (UTC+3)
4658222693_Black N Yellow Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2160 => 2295 | [h] 1a4211488a => 06b75be4d4 | 2024-12-19 18:02:32 (UTC+3)
4658222694_Black N Yellow Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2130 | [h] None => faa58dcd35 | 2024-03-21 18:05:58 (UTC+3)
4658222694_Black N Yellow Card Pack - DPC Winter Tour - 2021-2022 | [s] 2130 => 2265 | [h] faa58dcd35 => a01f41cbb0 | 2024-12-19 18:02:32 (UTC+3)
4658222695_Simply TOOBASED Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2163 | [h] None => cec33e1d27 | 2024-03-21 18:05:58 (UTC+3)
4658222695_Simply TOOBASED Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2163 => 2298 | [h] cec33e1d27 => 1e5ec53105 | 2024-12-19 18:02:32 (UTC+3)
4658222697_Simply TOOBASED Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2133 | [h] None => 089ba9e77b | 2024-03-21 18:05:58 (UTC+3)
4658222697_Simply TOOBASED Card Pack - DPC Winter Tour - 2021-2022 | [s] 2133 => 2268 | [h] 089ba9e77b => 02a1a1d90f | 2024-12-19 18:02:32 (UTC+3)
4662145592_4 Zoomers Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2145 | [h] None => 3e1b7a3e6d | 2024-03-21 18:05:58 (UTC+3)
4662145592_4 Zoomers Bronze Tier Support - DPC Winter Tour - 2021-2022 | [s] 2145 => 2280 | [h] 3e1b7a3e6d => 8b9c2377af | 2024-12-19 18:02:32 (UTC+3)
4662145593_4 Zoomers Card Pack - DPC Winter Tour - 2021-2022 | [s] None => 2115 | [h] None => 00488f21fb | 2024-03-21 18:05:58 (UTC+3)
4662145593_4 Zoomers Card Pack - DPC Winter Tour - 2021-2022 | [s] 2115 => 2250 | [h] 00488f21fb => c2af57ddba | 2024-12-19 18:02:32 (UTC+3)
4662145595_Simply TOOBASED Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2193 | [h] None => a5ba70acf2 | 2024-03-21 18:05:58 (UTC+3)
4662145595_Simply TOOBASED Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2193 => 2328 | [h] a5ba70acf2 => 2907727173 | 2024-12-19 18:02:32 (UTC+3)
4662145596_Simply TOOBASED Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2187 | [h] None => 1675ebc580 | 2024-03-21 18:05:58 (UTC+3)
4662145596_Simply TOOBASED Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2187 => 2322 | [h] 1675ebc580 => f522d59e57 | 2024-12-19 18:02:32 (UTC+3)
4662145597_Team Wallpaper - Simply TOOBASED, Season 3, #1 | [s] None => 2166 | [h] None => 78f199763b | 2024-03-21 18:05:58 (UTC+3)
4662145597_Team Wallpaper - Simply TOOBASED, Season 3, #1 | [s] 2166 => 2301 | [h] 78f199763b => a53895db8e | 2024-12-19 18:02:32 (UTC+3)
4662145598_Team Secret Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2181 | [h] None => d03e54310a | 2024-03-21 18:05:58 (UTC+3)
4662145598_Team Secret Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2181 => 2316 | [h] d03e54310a => fa3ecda0b2 | 2024-12-19 18:02:32 (UTC+3)
4662145599_Team Secret Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2175 | [h] None => e4bf09bfa2 | 2024-03-21 18:05:58 (UTC+3)
4662145599_Team Secret Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2175 => 2310 | [h] e4bf09bfa2 => 36d9a75196 | 2024-12-19 18:02:32 (UTC+3)
4662145600_Team Wallpaper - Team Secret, Season 3, #1 | [s] None => 2154 | [h] None => c2d85e2c8b | 2024-03-21 18:05:58 (UTC+3)
4662145600_Team Wallpaper - Team Secret, Season 3, #1 | [s] 2154 => 2289 | [h] c2d85e2c8b => d7e8b5e6dc | 2024-12-19 18:02:32 (UTC+3)
4662145601_Team Wallpaper - Team Secret, Season 3, #2 | [s] None => 2154 | [h] None => 5cf096fe48 | 2024-03-21 18:05:58 (UTC+3)
4662145601_Team Wallpaper - Team Secret, Season 3, #2 | [s] 2154 => 2289 | [h] 5cf096fe48 => 112c5ad25f | 2024-12-19 18:02:32 (UTC+3)
4662145602_Alliance Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2171 | [h] None => 0c319bb8f1 | 2024-03-21 18:05:58 (UTC+3)
4662145602_Alliance Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2171 => 2306 | [h] 0c319bb8f1 => 42b2e80ebc | 2024-12-19 18:02:32 (UTC+3)
4662145603_Alliance Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2165 | [h] None => cb13894238 | 2024-03-21 18:05:58 (UTC+3)
4662145603_Alliance Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2165 => 2300 | [h] cb13894238 => 469c58a59c | 2024-12-19 18:02:32 (UTC+3)
4662145604_Team Wallpaper - Alliance, Season 3, #1 | [s] None => 2144 | [h] None => 1e6e9d808d | 2024-03-21 18:05:58 (UTC+3)
4662145604_Team Wallpaper - Alliance, Season 3, #1 | [s] 2144 => 2279 | [h] 1e6e9d808d => 176f144ec5 | 2024-12-19 18:02:32 (UTC+3)
4662145605_Team Wallpaper - Alliance, Season 3, #2 | [s] None => 2144 | [h] None => d763501da6 | 2024-03-21 18:05:58 (UTC+3)
4662145605_Team Wallpaper - Alliance, Season 3, #2 | [s] 2144 => 2279 | [h] d763501da6 => 9897cb6d93 | 2024-12-19 18:02:32 (UTC+3)
4662145606_Thunder Predator Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2196 | [h] None => 42f5a2822b | 2024-03-21 18:05:58 (UTC+3)
4662145606_Thunder Predator Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2196 => 2331 | [h] 42f5a2822b => b07c01ce31 | 2024-12-19 18:02:32 (UTC+3)
4662145607_Thunder Predator Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2190 | [h] None => eb7ed824df | 2024-03-21 18:05:58 (UTC+3)
4662145607_Thunder Predator Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2190 => 2325 | [h] eb7ed824df => 31911bf3c9 | 2024-12-19 18:02:32 (UTC+3)
4662145608_Team Wallpaper - Thunder Predator, Season 3, #1 | [s] None => 2169 | [h] None => b8fcbf13b9 | 2024-03-21 18:05:58 (UTC+3)
4662145608_Team Wallpaper - Thunder Predator, Season 3, #1 | [s] 2169 => 2304 | [h] b8fcbf13b9 => b71c73d506 | 2024-12-19 18:02:32 (UTC+3)
4662145609_Team Wallpaper - Thunder Predator, Season 3, #2 | [s] None => 2169 | [h] None => dd2f940e1e | 2024-03-21 18:05:58 (UTC+3)
4662145609_Team Wallpaper - Thunder Predator, Season 3, #2 | [s] 2169 => 2304 | [h] dd2f940e1e => abd6066469 | 2024-12-19 18:02:32 (UTC+3)
4662145610_DogChamp Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2172 | [h] None => e78c4ab6ca | 2024-03-21 18:05:58 (UTC+3)
4662145610_DogChamp Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2172 => 2307 | [h] e78c4ab6ca => fa1826b57e | 2024-12-19 18:02:32 (UTC+3)
4662145611_DogChamp Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2166 | [h] None => 6d69427b02 | 2024-03-21 18:05:58 (UTC+3)
4662145611_DogChamp Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2166 => 2301 | [h] 6d69427b02 => 9ce2ced838 | 2024-12-19 18:02:32 (UTC+3)
4662145612_Team Wallpaper - DogChamp, Season 3, #2 | [s] None => 2145 | [h] None => 4edf9cf16a | 2024-03-21 18:05:58 (UTC+3)
4662145612_Team Wallpaper - DogChamp, Season 3, #2 | [s] 2145 => 2280 | [h] 4edf9cf16a => 8eec2cc699 | 2024-12-19 18:02:32 (UTC+3)
4662145613_Quincy Crew Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2181 | [h] None => 8690acb3ae | 2024-03-21 18:05:58 (UTC+3)
4662145613_Quincy Crew Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2181 => 2316 | [h] 8690acb3ae => 98a1fdbb58 | 2024-12-19 18:02:32 (UTC+3)
4662145614_Quincy Crew Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2175 | [h] None => 6544f8b923 | 2024-03-21 18:05:58 (UTC+3)
4662145614_Quincy Crew Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2175 => 2310 | [h] 6544f8b923 => 7db6f02914 | 2024-12-19 18:02:32 (UTC+3)
4662145615_Team Wallpaper - Quincy Crew, Season 3, #1 | [s] None => 2154 | [h] None => ec74dc7d91 | 2024-03-21 18:05:58 (UTC+3)
4662145615_Team Wallpaper - Quincy Crew, Season 3, #1 | [s] 2154 => 2289 | [h] ec74dc7d91 => 5c3c7c6a0b | 2024-12-19 18:02:32 (UTC+3)
4662145617_Team Wallpaper - Quincy Crew, Season 3, #2 | [s] None => 2154 | [h] None => 5ec4099a3c | 2024-03-21 18:05:58 (UTC+3)
4662145617_Team Wallpaper - Quincy Crew, Season 3, #2 | [s] 2154 => 2289 | [h] 5ec4099a3c => 96fed5aeae | 2024-12-19 18:02:32 (UTC+3)
4662145618_Gambit Esports Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2190 | [h] None => 845fe0f7fa | 2024-03-21 18:05:58 (UTC+3)
4662145618_Gambit Esports Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2190 => 2325 | [h] 845fe0f7fa => 6753962a55 | 2024-12-19 18:02:32 (UTC+3)
4662145619_Gambit Esports Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2184 | [h] None => daecc1f17e | 2024-03-21 18:05:58 (UTC+3)
4662145619_Gambit Esports Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2184 => 2319 | [h] daecc1f17e => c4f958e88b | 2024-12-19 18:02:32 (UTC+3)
4662145620_Team Wallpaper - Gambit Esports, Season 3, #1 | [s] None => 2163 | [h] None => f666c1e82a | 2024-03-21 18:05:58 (UTC+3)
4662145620_Team Wallpaper - Gambit Esports, Season 3, #1 | [s] 2163 => 2298 | [h] f666c1e82a => c40a0df7dd | 2024-12-19 18:02:32 (UTC+3)
4662145621_Team Wallpaper - Gambit Esports, Season 3, #2 | [s] None => 2163 | [h] None => 3754d78ea6 | 2024-03-21 18:05:58 (UTC+3)
4662145621_Team Wallpaper - Gambit Esports, Season 3, #2 | [s] 2163 => 2298 | [h] 3754d78ea6 => b6f1785bab | 2024-12-19 18:02:32 (UTC+3)
4662145622_Evil Geniuses Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2181 | [h] None => 69852b9705 | 2024-03-21 18:05:58 (UTC+3)
4662145622_Evil Geniuses Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2181 => 2316 | [h] 69852b9705 => 342a8f03b4 | 2024-12-19 18:02:32 (UTC+3)
4662145623_Evil Geniuses Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2175 | [h] None => 9bf6d01f25 | 2024-03-21 18:05:58 (UTC+3)
4662145623_Evil Geniuses Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2175 => 2310 | [h] 9bf6d01f25 => dfa1d2ba45 | 2024-12-19 18:02:32 (UTC+3)
4662145624_Team Wallpaper - Evil Geniuses, Season 3, #2 | [s] None => 2153 | [h] None => 018d594992 | 2024-03-21 18:05:58 (UTC+3)
4662145624_Team Wallpaper - Evil Geniuses, Season 3, #2 | [s] 2153 => 2288 | [h] 018d594992 => a756ddbed1 | 2024-12-19 18:02:32 (UTC+3)
4662145625_Team Tickles Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2184 | [h] None => 4fe9e7091c | 2024-03-21 18:05:58 (UTC+3)
4662145625_Team Tickles Bronze to Silver Tier Support - DPC Winter Tour - 2021-2022 | [s] 2184 => 2319 | [h] 4fe9e7091c => 9edd43345f | 2024-12-19 18:02:32 (UTC+3)
4662145626_Team Tickles Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] None => 2178 | [h] None => 14714510bb | 2024-03-21 18:05:58 (UTC+3)
4662145626_Team Tickles Silver to Gold Tier Support - DPC Winter Tour - 2021-2022 | [s] 2178 => 2313 | [h] 14714510bb => ba88b96d0c | 2024-12-19 18:02:32 (UTC+3)
4662145627_Team Wallpaper - Team Tickles, Season 3, #1 | [s] None => 2157 | [h] None => 68ad1533a4 | 2024-03-21 18:05:58 (UTC+3)
4662145627_Team Wallpaper - Team Tickles, Season 3, #1 | [s] 2157 => 2292 | [h] 68ad1533a4 => 0f5337b7a8 | 2024-12-19 18:02:32 (UTC+3)
4662145628_Team Wallpaper - Team Tickles, Season 3, #2 | [s] None => 2157 | [h] None => 22341d4b98 | 2024-03-21 18:05:58 (UTC+3)
